"precinct","g_iphone","year_week","stops","nonwhite","null_stops","arrests","white","nonwhite_null","borough","iphone","force","nonwhite_force","nonwhite_arrest","high_white","high_crime"
1,56,1,0,0,0,0,0,0,"PBMS",0,0,0,0,TRUE,FALSE
5,56,1,3,3,2,0,0,2,"PBMS",0,1,1,0,FALSE,FALSE
6,56,1,0,0,0,0,0,0,"PBMS",0,0,0,0,TRUE,TRUE
7,56,1,1,1,0,1,0,0,"PBMS",0,1,1,1,FALSE,FALSE
9,56,1,1,1,1,0,0,1,"PBMS",0,0,0,0,TRUE,TRUE
10,56,1,4,4,2,2,0,2,"PBMS",0,3,0,2,TRUE,FALSE
13,56,1,5,4,1,2,1,1,"PBMS",0,2,0,1,TRUE,TRUE
14,56,1,1,1,1,0,0,1,"PBMS",0,0,0,0,TRUE,TRUE
17,56,1,0,0,0,0,0,0,"PBMS",0,0,0,0,TRUE,FALSE
18,56,1,0,0,0,0,0,0,"PBMS",0,0,0,0,TRUE,TRUE
19,62,1,1,1,1,0,0,1,"PBMN",0,0,0,0,TRUE,TRUE
20,62,1,0,0,0,0,0,0,"PBMN",0,0,0,0,TRUE,FALSE
22,62,1,0,0,0,0,0,0,"PBMN",0,0,0,0,FALSE,FALSE
23,62,1,10,10,9,1,0,9,"PBMN",0,0,0,1,FALSE,FALSE
24,62,1,3,3,3,0,0,3,"PBMN",0,0,0,0,TRUE,FALSE
25,62,1,5,5,3,2,0,3,"PBMN",0,0,0,2,FALSE,FALSE
26,62,1,0,0,0,0,0,0,"PBMN",0,0,0,0,TRUE,FALSE
28,62,1,2,1,1,1,0,0,"PBMN",0,0,0,1,FALSE,FALSE
30,62,1,0,0,0,0,0,0,"PBMN",0,0,0,0,FALSE,FALSE
32,62,1,4,4,1,3,0,1,"PBMN",0,0,0,3,FALSE,FALSE
33,62,1,9,9,7,2,0,7,"PBMN",0,0,0,2,FALSE,FALSE
34,62,1,1,1,1,0,0,1,"PBMN",0,0,0,0,FALSE,FALSE
40,51,1,5,5,3,1,0,3,"PBBX",0,0,0,1,FALSE,TRUE
41,51,1,0,0,0,0,0,0,"PBBX",0,0,0,0,FALSE,FALSE
42,51,1,3,3,1,2,0,1,"PBBX",0,1,1,2,FALSE,FALSE
43,51,1,0,0,0,0,0,0,"PBBX",0,0,0,0,FALSE,TRUE
44,51,1,9,9,6,3,0,6,"PBBX",0,0,0,3,FALSE,TRUE
45,51,1,0,0,0,0,0,0,"PBBX",0,0,0,0,FALSE,FALSE
46,51,1,2,2,0,2,0,0,"PBBX",0,0,0,2,FALSE,TRUE
47,51,1,0,0,0,0,0,0,"PBBX",0,0,0,0,FALSE,TRUE
48,51,1,6,5,3,1,1,3,"PBBX",0,0,0,1,FALSE,TRUE
49,51,1,5,5,2,3,0,2,"PBBX",0,0,0,3,FALSE,FALSE
50,51,1,0,0,0,0,0,0,"PBBX",0,0,0,0,TRUE,FALSE
52,51,1,2,1,2,0,0,1,"PBBX",0,1,0,0,FALSE,TRUE
60,66,1,5,5,3,2,0,3,"PBBS",0,1,1,2,TRUE,FALSE
61,66,1,1,0,1,0,1,0,"PBBS",0,1,0,0,TRUE,TRUE
62,66,1,1,0,1,0,0,0,"PBBS",0,1,0,0,TRUE,FALSE
63,66,1,2,2,1,1,0,1,"PBBS",0,0,0,1,TRUE,FALSE
66,66,1,4,4,4,0,0,4,"PBBS",0,0,0,0,TRUE,FALSE
67,66,1,6,6,5,1,0,5,"PBBS",0,0,0,1,FALSE,TRUE
68,66,1,1,1,0,0,0,0,"PBBS",0,0,0,0,TRUE,FALSE
69,66,1,0,0,0,0,0,0,"PBBS",0,0,0,0,FALSE,FALSE
70,66,1,1,1,1,0,0,1,"PBBS",0,0,0,0,TRUE,TRUE
71,66,1,0,0,0,0,0,0,"PBBS",0,0,0,0,FALSE,TRUE
72,66,1,2,1,2,0,1,1,"PBBS",0,0,0,0,FALSE,FALSE
73,63,1,9,9,5,4,0,5,"PBBN",0,0,0,4,FALSE,TRUE
75,63,1,2,2,1,0,0,1,"PBBN",0,0,0,0,FALSE,TRUE
76,66,1,0,0,0,0,0,0,"PBBS",0,0,0,0,TRUE,FALSE
77,63,1,4,4,1,3,0,1,"PBBN",0,0,0,3,FALSE,TRUE
78,66,1,1,0,1,0,1,0,"PBBS",0,0,0,0,TRUE,FALSE
79,63,1,10,10,10,0,0,10,"PBBN",0,1,1,0,TRUE,TRUE
81,63,1,1,1,1,0,0,1,"PBBN",0,0,0,0,FALSE,TRUE
83,63,1,0,0,0,0,0,0,"PBBN",0,0,0,0,FALSE,TRUE
84,63,1,0,0,0,0,0,0,"PBBN",0,0,0,0,TRUE,FALSE
88,63,1,1,1,1,0,0,1,"PBBN",0,0,0,0,TRUE,FALSE
90,63,1,0,0,0,0,0,0,"PBBN",0,0,0,0,TRUE,TRUE
94,63,1,1,1,0,1,0,0,"PBBN",0,0,0,1,TRUE,FALSE
100,69,1,0,0,0,0,0,0,"PBQS",0,0,0,0,TRUE,FALSE
101,69,1,9,9,7,2,0,7,"PBQS",0,0,0,2,FALSE,FALSE
